urls,names,bio
https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BD%D0%B8%D0%B0%D0%BC%D0%B8%D0%BD_(%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%91%D0%B2),Вениамин (Королёв),"Епи́скоп Вениами́н (в миру Ви́ктор Анато́льевич Королёв; 26 октября 1965, село Верхососенье, Покровский район, Орловская область — 26 апреля 2020, Курск) — епископ Русской православной церкви, епископ Железногорский и Льговский (2012—2020)."
"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D1%82%D1%8E%D0%BA,_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Виктюк, Роман Григорьевич","Рома́н Григо́рьевич Виктю́к (укр. Роман Григорович Віктюк; 28 октября 1936, Львов, Польша — 17 ноября 2020[2], Москва, Россия) — советский, украинский и российский  театральный режиссёр и педагог, основатель и художественный руководитель Театра Романа Виктюка (1991—2020); народный артист Украины (2006), народный артист Российской Федерации (2009)."
"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%B1%D0%B5%D1%80%D0%B3,_%D0%AD%D1%80%D0%BD%D0%B5%D1%81%D1%82_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87","Винберг, Эрнест Борисович","Эрне́ст Бори́сович Ви́нберг (26 июля 1937, Москва — 12 мая 2020[3], там же) — советский и российский математик, доктор физико-математических наук (1984), профессор кафедры высшей алгебры МГУ (1990), профессор Независимого московского университета (1991), заслуженный профессор МГУ. Специалист в области высшей алгебры, теории групп Ли, теории инвариантов[4]."
"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%82%D0%B5%D0%B1%D1%81%D0%BA%D0%B8%D0%B9,_%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D0%B8%D0%B9_%D0%AF%D0%BA%D0%BE%D0%B2%D0%BB%D0%B5%D0%B2%D0%B8%D1%87","Витебский, Виталий Яковлевич","Виталий Яковлевич Витебский (9 ноября 1941, Курган, Челябинская область — 26 ноября 2020, Москва) — российский конструктор в области приборостроения, народный депутат России (1990—1993), член Совета Республик Верховного Совета СССР (1991), кандидат экономических наук (1997)."
"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%88%D0%BD%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Вишневский, Анатолий Григорьевич","Анато́лий Григо́рьевич Вишне́вский (1 апреля 1935, Харьков, УССР — 15 января 2021, Москва, Россия) — советский и российский демограф и экономист, автор монографий. Получил также известность как писатель и историк литературы Русского Зарубежья. Доктор экономических наук (1983), действительный член РАЕН. Директор Института демографии Высшей школы экономики[3]."
"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Воронов, Владимир Михайлович","тренер-преподаватель высшей категории,    Почетный гражданин  Старооскольского городского округа  Белгородской области"
"https://ru.wikipedia.org/wiki/%D0%92%D1%83%D1%81%D1%82%D0%B8%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9A%D1%83%D0%B7%D1%8C%D0%BC%D0%B8%D1%87","Вустин, Александр Кузьмич","Алекса́ндр Кузьми́ч Ву́стин (24 апреля 1943, Москва[2] — 19 апреля 2020[1], Москва) — советский и российский композитор."
"https://ru.wikipedia.org/wiki/%D0%92%D1%8F%D0%B7%D0%BC%D0%B8%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0","Вязмитинова, Людмила Геннадьевна","Людмила Геннадьевна Вязмитинова (урожд. Зиновьева; 25 августа 1950, Москва — 14 июля 2021, Москва) — российский литературный критик и поэтесса[1]."
"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%BB%D0%B8%D0%BC%D0%BE%D0%B2,_%D0%AD%D1%80%D0%B8%D0%BA_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Галимов, Эрик Михайлович","Э́рик Миха́йлович Гали́мов (29 июля 1936, Владивосток — 23 ноября 2020[1], Москва) — советский и российский геохимик. Академик РАН (1994, член-корреспондент с 1991), член её президиума в 2002—2013 гг., доктор геолого-минералогических наук (1970), профессор (1982), заслуженный профессор МГУ (1999)[2]. Директор Института геохимии и аналитической химии им. В. И. Вернадского РАН (1992—2015), затем — его научный руководитель. Лауреат Государственной премии Российской Федерации в области науки и технологий за 2015 год[3]."
"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%81%D0%BF%D0%B0%D1%80%D0%BE%D0%B2,_%D0%A1%D0%B0%D0%BC%D0%B2%D0%B5%D0%BB_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Гаспаров, Самвел Владимирович","Самвел Владимирович Гаспа́ров (арм. Սամվել Վլադիմիրի Գասպարով; 7 июня 1938, Тбилиси — 26 мая 2020[1], Москва[1]) — советский и российский кинорежиссёр."
"https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BD%D0%B4%D0%BB%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%98%D0%BB%D1%8C%D0%B8%D1%87","Гендлин, Владимир Ильич","ТЭФИ (2003, 2009)"
"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BD%D1%87%D0%B0%D1%80%D0%BE%D0%B2,_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87","Гончаров, Игорь Борисович","Игорь Борисович Гончаров (6 августа 1939, Москва — 24 апреля 2020, там же[1]) — советский и российский учёный-медик.
Доктор медицинских наук, профессор, сотрудник Государственного научного центра РФ Института медико-биологических проблем (ИМБП) РАН.
Заслуженный врач Российской Федерации (1996)[2]."
"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B5%D0%B2%D0%BE%D0%B9,_%D0%93%D0%B0%D1%80%D0%B8%D0%B9_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B8%D1%87","Горевой, Гарий Семёнович","Га́рий Семёнович Горево́й (16 июня 1939[1], Москва — 9 мая 2020, Тверь) — ветеран Вооружённых сил, кандидат технических наук (1974), доцент кафедры туризма и природопользования ТвГУ[2], мастер спорта СССР по туризму (1989), действительный член Русского Географического общества, член Ассоциации Тверских землячеств[3].
Заместитель председателя Тверского военно-исторического интернет-центра[4]."
"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D1%87%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Грачевский, Борис Юрьевич","Борис Юрьевич Грачевский (18 марта 1949, Раменский район, Московская область — 14 января 2021, Москва) — советский и российский кинорежиссёр[3] и сценарист, организатор кинопроизводства, художественный руководитель детского киножурнала «Ералаш» (2002—2021). Член Российской академии кинематографических искусств «Ника»; заслуженный деятель искусств РФ (2000), лауреат премии Правительства РФ (2010)."
"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D1%83%D0%B7%D0%B1%D0%B5%D1%80%D0%B3,_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0","Грузберг, Людмила Александровна","Людми́ла Алекса́ндровна Гру́зберг (8 декабря 1936, Пермь — 28 октября 2020, там же[1]) — советский и российский лингвист-диалектолог, лексиколог, лексикограф, специалист по пермским говорам, автор и соавтор словарей и справочников русского языка."
"https://ru.wikipedia.org/wiki/%D0%93%D1%83%D0%BD%D0%B4%D0%BB%D0%B0%D1%85,_%D0%A1%D0%B2%D0%B5%D0%BD_%D0%93%D1%83%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87","Гундлах, Свен Гуидович","Свен Гуидович Гундлах (25 мая 1959, Москва — 14 декабря 2020, там же) — российский художник, поэт, музыкант, один из основателей арт-группы «Мухоморы» и рок-группы «Среднерусская возвышенность»."
"https://ru.wikipedia.org/wiki/%D0%93%D1%83%D1%80%D1%82%D1%83%D0%B5%D0%B2,_%D0%A1%D0%B0%D0%BB%D0%B8%D1%85_%D0%A1%D1%83%D0%BB%D1%82%D0%B0%D0%BD%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%D0%B8%D1%87","Гуртуев, Салих Султанбекович","Салих Султанбекович Гуртуев (1938, Белая Речка, Кабардино-Балкария — 26 июня 2020, Нальчик) — балкарский поэт и переводчик. Народный поэт Кабардино-Балкарской Республики, автор более 25 книг поэзии, литературных эссе и переводов. За перевод на балкарский язык поэмы «Витязь в тигровой шкуре»  удостоен звания «Почётный гражданин города Тбилиси» (2011)[1][2][3]."
"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87,_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D0%B8%D0%B9_%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%D0%BF%D0%BE%D0%B2%D0%B8%D1%87","Давидович, Аркадий Филиппович","Арка́дий Давидо́вич (имя при рождении Адольф Филиппович Фрейдберг; 12 июня 1930, Воронеж — 25 февраля 2021, там же) — русский писатель, актёр, художник, афорист, автор 100 000 опубликованных афоризмов[1]; коллекционер и собиратель картин художницы Валентины Золотых, которую он считал своей музой."
https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%B0%D0%BC%D0%B1%D0%B5%D0%BB_%D0%9B%D0%BE%D0%B4%D0%BE%D0%B9,Джамбел Лодой,"Джамбел Лодой (в миру — Апыш-оол Шууракаевич Сат; 21 августа 1975 — 23 июня 2020) — российский религиозный деятель, Верховный лама (Камбы-лама) Тывы (2005—2010, 2019—2020)[1]."
"https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D1%83%D0%BB%D0%B0%D0%B4%D0%B6%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0_%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0","Домуладжанова, Ольга Витальевна",
"https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D1%85%D0%BE%D1%8F%D0%BD,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%A0%D0%B0%D1%84%D0%B0%D1%8D%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Дохоян, Юрий Рафаэлович","Юрий Рафаэлович Дохоян (26 октября 1964, с. Зыряновка, Алтайский край — 1 июля 2021, Москва) — советский и российский шахматист. Мастер спорта СССР по шахматам (1983), гроссмейстер (1988). Шахматный тренер, заслуженный тренер России."
"https://ru.wikipedia.org/wiki/%D0%94%D1%83%D0%B1%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Дубянский, Александр Михайлович","Алекса́ндр Миха́йлович Дубя́нский  (27 апреля 1941, Москва — 18 ноября 2020, там же)[1][2] — советский и российский индолог-дравидолог, специалист по истории тамильской литературы. Кандидат филологических наук. Доцент ИСАА при МГУ и ИВКА РГГУ. Один из авторов и научный редактор (совместно с М. Ф. Альбедиль) словаря «Индуизм. Джайнизм. Сикхизм»."
https://ru.wikipedia.org/wiki/%D0%95%D0%B2%D0%BB%D0%BE%D0%B3%D0%B8%D0%B9_(%D0%A1%D0%BC%D0%B8%D1%80%D0%BD%D0%BE%D0%B2),Евлогий (Смирнов),"Митрополи́т Евло́гий (в миру Ю́рий Васи́льевич Смирно́в; 13 января 1937, Кемерово, Западно-Сибирский край — 22 июля 2020[1], Москва) — епископ Русской православной церкви, митрополит Владимирский и Суздальский (1990—2018); доктор богословия (2014), Почётный гражданин города Владимира (2006)[2] и Владимирской области (2017)[3]."
"https://ru.wikipedia.org/wiki/%D0%95%D0%B2%D1%81%D1%8E%D0%BA%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Евсюков, Алексей Павлович","Алексей Павлович Евсюков (17 апреля 1949 — 18 января 2021) — пианист, аккомпаниатор, композитор. Народный артист РФ (2002)[1]."
"https://ru.wikipedia.org/wiki/%D0%95%D0%B2%D1%82%D1%83%D1%88%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Евтушенко, Юрий Григорьевич","Юрий Григорьевич Евтушенко (29 мая 1964, Новосибирск — 9 ноября 2020, Санкт-Петербург) — генерал-майор ВС РФ, начальник Центра по примирению враждующих сторон и контролю за перемещением беженцев в Сирии с января по июль 2018 года, заместитель командующего войсками Западного военного округа по военно-политической работе[2]."
"https://ru.wikipedia.org/wiki/%D0%95%D0%B3%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%98%D0%B3%D0%BE%D1%80%D0%B5%D0%B2%D0%B8%D1%87","Егин, Владислав Игоревич",13 апреля 1989(1989-04-13)
"https://ru.wikipedia.org/wiki/%D0%95%D0%B3%D0%BE%D1%80%D0%BE%D0%B2,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%A4%D1%91%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Егоров, Борис Фёдорович",Премия фонда имени Д. С. Лихачева (2007)
"https://ru.wikipedia.org/wiki/%D0%95%D0%BB%D0%B8%D0%BD,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Елин, Георгий Анатольевич","Георгий Анатольевич Елин (6 августа 1951, Москва — 18 марта 2021, там же[1]) — русский журналист, редактор и литератор. Член Союза журналистов (1980), Член Союза писателей СССР (1991), после разделения союзов — СП Москвы (c 1993)."
"https://ru.wikipedia.org/wiki/%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D0%B0,_%D0%A1%D0%BE%D1%84%D1%8C%D1%8F_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0","Жукова, Софья Ивановна","Софья Ивановна Жукова (1939, деревня Звягино, Нижегородская область, РСФСР — 29 декабря 2020, Хабаровск, городская больница №10) – российская серийная убийца, совершившая в период с 2005 по 2019 год три убийства. На момент последнего преступления ей было 80 лет. Является самой старой из серийных убийц в истории России и СССР[2]. В некоторых источниках утверждается, что Жукова частично употребляла своих жертв в пищу[3]. Умерла от коронавируса до суда[4]. Признана виновной посмертно[5]."
"https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B3%D0%BE%D1%80%D1%83%D0%BB%D1%8C%D0%BA%D0%BE,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Загорулько, Евгений Петрович","Евгéний Петрóвич Загорýлько (26 августа 1942 — 3 апреля 2021) — советский и российский тренер по лёгкой атлетике (прыжок в высоту), заслуженный тренер СССР и РФ."
"https://ru.wikipedia.org/wiki/%D0%97%D0%B8%D0%BC%D0%B8%D0%BD,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Зимин, Виктор Михайлович","Виктор Михайлович Зимин (23 августа 1962, Диссос, Красноярский край — 23 ноября 2020, Москва[1]) — российский государственный и политический деятель."
"https://ru.wikipedia.org/wiki/%D0%97%D1%83%D0%B1%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%A0%D0%BE%D1%81%D1%82%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87","Зубковский, Сергей Ростиславович","Сергей Ростиславович Зубковский (25 октября 1938, Симферополь — 7 июля 2021, Владимир) — советский и российский композитор, пианист, заслуженный деятель искусств России, профессор Владимирского государственного университета, председатель творческого объединения композиторов Владимирской области."
"https://ru.wikipedia.org/wiki/%D0%97%D1%83%D0%B9%D0%BA%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87","Зуйков, Владимир Николаевич","Влади́мир Никола́евич Зу́йков (27 января 1935, Москва — 25 февраля 2021, там же) — советский, российский художник-постановщик и художник-мультипликатор, график, иллюстратор. Заслуженный художник РСФСР (1989)."
"https://ru.wikipedia.org/wiki/%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87_(%D1%83%D1%87%D1%91%D0%BD%D1%8B%D0%B9)","Иванов, Игорь Васильевич (учёный)","И́горь Васи́льевич Ивано́в (2 июля 1937 — 30 марта 2021[1]) — советский и российский учёный-почвовед и историк науки, председатель Комиссии истории, философии и социологии почвоведения Общества почвоведов имени В. В. Докучаева, Заслуженный деятель науки РФ (1998), профессор (2006).[2]."
"https://ru.wikipedia.org/wiki/%D0%98%D0%B3%D0%BD%D0%B0%D1%82%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Игнатенко, Александр Александрович","Алекса́ндр Алекса́ндрович Игнате́нко (2 февраля 1947, Красный Лиман, Сталинская (ныне Донецкая) область УССР, СССР — 24 января 2021, Москва, Россия[1]) — советский и российский исламовед, специалист по истории средневековой и современной арабской мусульманской философско-политической мысли, по религиозному экстремизму и терроризму. Доктор философских наук, профессор. Член Общественной палаты РФ (2006—2008)."
"https://ru.wikipedia.org/wiki/%D0%98%D0%B3%D0%BD%D0%B0%D1%82%D1%8C%D0%B5%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Игнатьев, Михаил Васильевич","Михаи́л Васи́льевич Игна́тьев (8 января 1962, д. Малые Торханы, Чебоксарский район, Чувашская АССР, РСФСР, СССР — 18 июня 2020, Санкт-Петербург, Россия[2]) — российский государственный и политический деятель. Глава Чувашской Республики (2010—2020)."
"https://ru.wikipedia.org/wiki/%D0%98%D0%B4%D1%80%D0%B8%D1%81%D0%BE%D0%B2,_%D0%A3%D0%BC%D0%B0%D1%80_%D0%AE%D1%81%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8%D1%87","Идрисов, Умар Юсипович","Ума́р Юси́пович Идри́сов (тат. Ğөmər Yosıf uğlı İdrisov, Гомәр Йосыф улы Идрисов;1 января 1954 (1954-01-01), Горький, СССР — 8 ноября 2020, там же (Нижний Новгород), Россия[1]) — советский и российский мусульманский религиозный деятель. В 1993—2008 гг. — председатель Духовного управления мусульман Нижнего Новгорода и Нижегородской области (ДУМНО), заместитель председателя Духовного управления мусульман Европейской части России (ДУМЕР), сопредседатель Совета муфтиев России (СМР), полномочный представитель СМР в Приволжском федеральном округе, председатель Совета улемов ДУМНО, председатель Совета старейшин ДУМНО, президент Нижегородского центра мусульманской культуры (НЦМК), президент Фонда им. имама Абу Ханифы."
https://ru.wikipedia.org/wiki/%D0%98%D0%BE%D0%B2_(%D0%A2%D1%8B%D0%B2%D0%BE%D0%BD%D1%8E%D0%BA),Иов (Тывонюк),"Митрополит Иов (в миру Дмитрий Яковлевич Тывонюк; 6 ноября 1938, Почаев, Украинская ССР, СССР — 1 декабря 2020, Москва) — епископ Русской православной церкви, управлявший Челябинской и Златоустовской епархией (1996—2011; с 2000 года в сане митрополита)."
https://ru.wikipedia.org/wiki/%D0%98%D0%BE%D0%BD%D0%B0_(%D0%9A%D0%B0%D1%80%D0%BF%D1%83%D1%85%D0%B8%D0%BD),Иона (Карпухин),"Митрополит Ио́на (в миру Ю́рий Алексе́евич Карпу́хин; 13 июня 1941, Москва — 4 мая 2020, там же) — архиерей Русской православной церкви, бывший митрополит Астраханский и Камызякский."
"https://ru.wikipedia.org/wiki/%D0%98%D0%BE%D1%84%D1%84%D0%B5,_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%B8%D0%B9_%D0%90%D0%B4%D0%BE%D0%BB%D1%8C%D1%84%D0%BE%D0%B2%D0%B8%D1%87","Иоффе, Григорий Адольфович",Григо́рий Адо́льфович Ио́ффе (3 апреля 1953 — 17 ноября 2020[2]) — украинский и российский политический деятель.
https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%B8%D0%B4%D0%BE%D1%80_(%D0%9A%D0%B8%D1%80%D0%B8%D1%87%D0%B5%D0%BD%D0%BA%D0%BE),Исидор (Кириченко),"Митрополи́т Иси́дор (в миру Николай Васильевич Кириченко; 25 мая 1941, Веймарн, Ленинградская область — 8 августа 2020, Краснодар) — епископ Русской православной церкви. Митрополит Екатеринодарский и Кубанский (1987—2020). Председатель Церковного суда Русской православной церкви (26 июня 2008 — 8 августа 2020)."
"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D1%80%D1%8F%D0%BD,_%D0%9C%D0%B8%D1%88%D0%B8%D0%BA_%D0%90%D0%B9%D1%80%D0%B0%D0%B7%D0%B0%D1%82%D0%BE%D0%B2%D0%B8%D1%87","Казарян, Мишик Айразатович","Мишик Айразатович Казарян (28 февраля 1948, Раздан — 7 апреля 2020, Москва[1]) — советский и российский физик, крупный специалист в области лазерной физики и оптики. Доктор физико-математических наук, профессор. Лауреат Государственной премии СССР в области науки и техники (1980), иностранный член Национальной академии наук Республики Армения[2]. Создатель самого яркого импульсно-периодического лазера для видимой области спектра."
"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B1%D1%83%D1%80%D0%BE%D0%B2%D0%B0,_%D0%9B%D0%BE%D1%80%D0%B8%D0%BD%D0%B0","Камбурова, Лорина","Лори́на Камбу́рова (болг. Лорина Камбурова, англ. Lorina Kamburova; 25 октября 1991[1], Варна — 27 мая 2021, Москва) — болгарская актриса и певица, известная по ролям в американских фильмах. Вокалистка группы Ross’N Lorina."
"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B5%D0%BD%D0%B5%D0%B2,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Каменев, Георгий Кириллович","Георгий Кириллович Каменев (16 марта 1960, Москва — 3 ноября 2020[1]	, там же) — российский математик, доктор физико-математических наук (2005), ведущий научный сотрудник ВЦ ФИЦ ИУ РАН, член Диссертационного совета ФУПМ МФТИ[2]. Также известен как священник, штатный клирик московского храма Богоявления Господня бывшего Богоявленского монастыря."
"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%B8%D0%BD,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%93%D0%B8%D1%80%D1%88%D0%B5%D0%B2%D0%B8%D1%87","Капустин, Николай Гиршевич","Никола́й Ги́ршевич Капу́стин (22 ноября 1937, Горловка, УССР, СССР — 2 июля 2020, Москва)[1] — советский и российский композитор, джазовый пианист."
"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%81%D0%B0%D1%82%D0%BA%D0%B8%D0%BD,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87","Касаткин, Леонид Леонидович","Леони́д Леони́дович Каса́ткин (30 декабря 1926, Фрунзе — 13 сентября 2020[1], Москва) — советский и российский лингвист, специалист по фонетике русского языка и диалектологии. Доктор филологических наук (1986), профессор МГУ (1993—2004), до 2012 года возглавлял отдел диалектологии и лингвистической географии Института русского языка им. В. В. Виноградова РАН (с 1998 года), до 2017 года работал в отделе современного русского языка."
"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B0%D0%B5%D0%B2%D0%B0,_%D0%95%D0%BB%D0%B5%D0%BD%D0%B0_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0","Катаева, Елена Георгиевна","Елена Георгиевна Катаева (урожд. Солякина; 14 июня 1956, Ленинград — 10 января 2021, Москва) — кандидат технических наук, доктор политических наук, доцент; ректор университета «Станкин»."
"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%86%D0%BA%D0%B8%D0%B9,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87","Кательницкий, Иван Иванович","Иван Иванович Кательницкий (1946 — 4 июля 2021) — специалист в области сосудистой хирургии. Доктор медицинских наук, профессор. Заслуженный врач Российской Федерации. Заведующий кафедрой хирургии № 1 Ростовского медицинского университета. Член правления Всероссийского общества ангиологов и сосудистых хирургов и член исполкома ассоциации флебологов России."
"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%87%D0%B0%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87","Качан, Владимир Андреевич","Влади́мир Андре́евич Кача́н (18 мая 1947, Ворошилов, Приморский край — 7 мая 2021, Москва) — советский и российский актёр, музыкант, писатель. Народный артист Российской Федерации (2004)[1]."
